tournament,source,team,team_slug,player_id,squad_number,position,first_name,last_name,full_name,shirt_name,birth_date,club,height_cm,head_coach,is_final_26,is_official_fifa,observation_only,betting_recommendation,affects_v4
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_11_hadj_moussa_anis,11,FW,Anis,HADJ MOUSSA,HADJ MOUSSA Anis,HADJ MOUSSA,2002-02-11,Feyenoord Rotterdam (NED),176,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_12_benbouali_nadhir,12,FW,Ahmed Nadhir,BENBOUALI,BENBOUALI Nadhir,BENBOUALI,2000-04-17,Györi ETO FC (HUN),190,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_13_hadjam_jaouen,13,DF,Jaouen Djimmy,HADJAM,HADJAM Jaouen,HADJAM,2003-03-26,BSC Young Boys (SUI),185,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_14_boudaoui_hicham,14,MF,Hicham,BOUDAOUI,BOUDAOUI Hicham,BOUDAOUI,1999-09-23,OGC Nice (FRA),175,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_15_ait_nouri_rayan,15,DF,Rayan,AÏT-NOURI,AIT-NOURI Rayan,AÏT NOURI,2001-06-06,Manchester City FC (ENG),180,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_16_benbot_oussama,16,GK,Oussama,BENBOT,BENBOT Oussama,BENBOT,1994-10-11,USM Alger (ALG),188,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_17_belghali_ra_k,17,DF,Ra k,BELGHALI,BELGHALI Ra k,BELGHALI,2002-06-07,Hellas Verona FC (ITA),180,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_18_amoura_mohamed,18,FW,Mohammed Elamine,AMOURA,AMOURA Mohamed,AMOURA,2000-05-09,VfL Wolfsburg (GER),170,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_19_bentaleb_nabil,19,MF,Nabil,BENTALEB,BENTALEB Nabil,BENTALEB,1994-11-24,Lille OSC (FRA),189,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_20_boulbina_adil,20,FW,Adil,BOULBINA,BOULBINA Adil,BOULBINA,2003-05-02,Al Duhail SC (QAT),183,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_21_bensebaini_ramy,21,DF,Amir Selmane Rami,BENSEBAINI,BENSEBAINI Ramy,BENSEBAINI,1995-04-16,Borussia Dortmund (GER),187,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_22_maza_ibrahim,22,MF,Ibrahim,MAZA,MAZA Ibrahim,MAZA,2005-11-24,Bayer Leverkusen (GER),180,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_23_zidane_luca,23,GK,Luca Zinedine,ZIDANE,ZIDANE Luca,ZIDANE,1998-05-13,Granada CF (ESP),183,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_24_titraoui_yassine,24,MF,Yassine M E G,TITRAOUI,TITRAOUI Yassine,TITRAOUI,2003-08-26,Sporting Charleroi (BEL),180,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_25_ghedjemis_fares,25,FW,Fares,GHEDJEMIS,GHEDJEMIS Fares,GHEDJEMIS,2002-09-06,Frosinone (ITA),183,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_26_chergui_samir,26,DF,Samir Sophian,CHERGUI,CHERGUI Samir,CHRGUI,1999-02-06,Paris FC (FRA),185,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_01_musso_juan,1,GK,Juan Agustín,MUSSO,MUSSO Juan,MUSSO,1994-05-06,Atlético De Madrid (ESP),193,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_02_balerdi_leonardo,2,DF,Leonardo Julián,BALERDI ROSA,BALERDI Leonardo,BALERDI,1999-01-26,Olympique Marseille (FRA),188,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_03_tagliafico_nicolas,3,DF,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO Nicolas,TAGLIAFICO,1992-08-31,Olympique Lyonnais (FRA),172,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_04_montiel_gonzalo,4,DF,Gonzalo Ariel,MONTIEL,MONTIEL Gonzalo,MONTIEL,1997-01-01,CA River Plate (ARG),175,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_05_paredes_leandro,5,MF,Leandro Daniel,PAREDES,PAREDES Leandro,PAREDES,1994-06-29,CA Boca Juniors (ARG),182,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_06_martinez_lisandro,6,DF,Lisandro,MARTÍNEZ,MARTINEZ Lisandro,MARTÍNEZ,1998-01-18,Manchester United FC (ENG),175,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_07_de_paul_rodrigo,7,MF,Rodrigo Javier,DE PAUL,DE PAUL Rodrigo,DE PAUL,1994-05-24,Inter Miami CF (USA),178,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_08_barco_valentin,8,MF,Valentin,BARCO,BARCO Valentin,BARCO,2004-07-23,RC Strasbourg (FRA),172,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_09_alvarez_julian,9,FW,Julián,ÁLVAREZ,ALVAREZ Julian,J. ALVAREZ,2000-01-31,Atlético De Madrid (ESP),170,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_10_messi_lionel,10,FW,Lionel Andrés,MESSI,MESSI Lionel,MESSI,1987-06-24,Inter Miami CF (USA),170,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_11_lo_celso_giovani,11,MF,Giovani,LO CELSO,LO CELSO Giovani,LO CELSO,1996-04-09,Real Betis (ESP),177,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_12_rulli_geronimo,12,GK,Geronimo,RULLI,RULLI Geronimo,RULLI,1992-05-20,Olympique Marseille (FRA),189,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_13_romero_cristian,13,DF,Cristian Gabriel,ROMERO,ROMERO Cristian,ROMERO,1998-04-27,Tottenham Hotspur FC (ENG),185,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_14_palacios_exequiel,14,MF,Exequiel Alejandro,PALACIOS,PALACIOS Exequiel,PALACIOS,1998-10-05,Bayer Leverkusen (GER),177,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_15_gonzalez_nico,15,MF,Nicolas Ivan,GONZALEZ,GONZALEZ Nico,N. GONZALEZ,1998-04-06,Atlético De Madrid (ESP),180,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_16_almada_thiago,16,FW,Thiago Ezequiel,ALMADA,ALMADA Thiago,ALMADA,2001-04-26,Atlético De Madrid (ESP),171,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_17_simeone_giuliano,17,FW,Giuliano,SIMEONE,SIMEONE Giuliano,SIMEONE,2002-12-18,Atlético De Madrid (ESP),174,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_18_paz_nico,18,FW,Nicolas,PAZ MARTÍNEZ,PAZ Nico,NICO PAZ,2004-09-08,Como (ITA),185,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_19_otamendi_nicolas,19,DF,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI Nicolas,OTAMENDI,1988-02-12,SL Ben ca (POR),182,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_20_mac_allister_alexis,20,MF,Alexis,MAC ALLISTER,MAC ALLISTER Alexis,MAC ALLISTER,1998-12-24,Liverpool FC (ENG),176,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_21_lopez_jose_manuel,21,FW,Jose Manuel Alberto,LOPEZ,LOPEZ Jose Manuel,LOPEZ,2000-12-06,SE Palmeiras (BRA),190,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_22_martinez_lautaro,22,FW,Lautaro Javier,MARTÍNEZ,MARTINEZ Lautaro,L. MARTINEZ,1997-08-22,FC Internazionale Milano (ITA),175,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_23_martinez_emiliano,23,GK,Damián Emiliano,MARTÍNEZ,MARTINEZ Emiliano,E. MARTINEZ,1992-09-02,Aston Villa FC (ENG),195,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_24_fernandez_enzo,24,MF,Enzo Jeremías,FERNÁNDEZ,FERNANDEZ Enzo,E. FERNANDEZ,2001-01-17,Chelsea FC (ENG),178,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_25_medina_facundo,25,DF,Facundo Axel,MEDINA,MEDINA Facundo,MEDINA,1999-05-28,Olympique Marseille (FRA),184,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Argentina,argentina,wc2026_argentina_26_molina_nahuel,26,DF,Nahuel,MOLINA LUCERO,MOLINA Nahuel,MOLINA,1998-04-06,Atlético De Madrid (ESP),179,SCALONI Lionel,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_01_ryan_mathew,1,GK,Mathew David,RYAN,RYAN Mathew,RYAN,1992-04-08,Levante UD (ESP),184,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_02_degenek_milos,2,DF,Milos,DEGENEK,DEGENEK Milos,DEGENEK,1994-04-28,APOEL FC (CYP),187,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_03_circati_alessandro,3,DF,Alessandro,CIRCATI,CIRCATI Alessandro,CIRCATI,2003-10-10,Parma (ITA),191,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_04_italiano_jacob,4,DF,Jacob Michael,ITALIANO,ITALIANO Jacob,ITALIANO,2001-07-30,Grazer AK (AUT),177,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_05_bos_jordan,5,DF,Jordan Jacob,BOS,BOS Jordan,BOS,2002-10-29,Feyenoord Rotterdam (NED),180,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_06_geria_jason,6,DF,Jason Kato,GERIA,GERIA Jason,GERIA,1993-05-10,Albirex Niigata (JPN),181,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_07_leckie_mathew,7,FW,Mathew Allan,LECKIE,LECKIE Mathew,LECKIE,1991-02-04,Melbourne City FC (AUS),181,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_08_metcalfe_connor,8,MF,Connor Isaac,METCALFE,METCALFE Connor,METCALFE,1999-11-05,FC St. Pauli (GER),183,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_09_toure_mohamed,9,FW,Mohamed A,TOURE,TOURE Mohamed,TOURE,2004-03-26,Norwich City FC (ENG),186,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_10_hrustic_ajdin,10,FW,Ajdin,HRUSTIC,HRUSTIC Ajdin,HRUSTIC,1996-07-05,SC Heracles Almelo (NED),180,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_11_mabil_awer,11,FW,Awer Bul,MABIL,MABIL Awer,MABIL,1995-09-15,CD Castellón (ESP),178,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_12_izzo_paul,12,GK,Paul David,IZZO,IZZO Paul,IZZO,1995-01-06,Randers FC (DEN),184,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_13_oneill_aiden,13,MF,Aiden Connor,O'NEILL,ONEILL Aiden,O'NEILL,1998-07-04,New York City FC (USA),180,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_14_devlin_cameron,14,MF,Cameron Peter,DEVLIN,DEVLIN Cameron,DEVLIN,1998-06-07,Heart Of Midlothian FC (SCO),170,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_15_trewin_kai,15,DF,Kai Clifton,TREWIN,TREWIN Kai,TREWIN,2001-05-18,New York City FC (USA),183,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_16_behich_aziz,16,DF,Aziz,BEHICH,BEHICH Aziz,BEHICH,1990-12-16,Melbourne City FC (AUS),170,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_17_irankunda_nestory,17,FW,Nestory,IRANKUNDA,IRANKUNDA Nestory,IRANKUNDA,2006-02-09,Watford FC (ENG),165,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_18_beach_patrick,18,GK,Patrick Thomas,BEACH,BEACH Patrick,BEACH,2003-08-06,Melbourne City FC (AUS),189,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_19_souttar_harry,19,DF,Harry James,SOUTTAR,SOUTTAR Harry,SOUTTAR,1998-10-22,Leicester City FC (ENG),198,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_20_volpato_cristian,20,FW,Cristian,VOLPATO,VOLPATO Cristian,VOLPATO,2003-11-15,US Sassuolo (ITA),187,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_21_burgess_cameron,21,DF,Cameron Robert,BURGESS,BURGESS Cameron,BURGESS,1995-10-21,Swansea City AFC (WAL),194,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_22_irvine_jackson,22,MF,Jackson Alexander,IRVINE,IRVINE Jackson,IRVINE,1993-03-07,FC St. Pauli (GER),189,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_23_velupillay_nishan,23,FW,Nishan Matthew,VELUPILLAY,VELUPILLAY Nishan,VELUPILLAY,2001-05-07,Melbourne Victory FC (AUS),181,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_24_okon_engstler_paul,24,MF,Paul Michael Junior,OKON-ENGSTLER,OKON-ENGSTLER Paul,OKON-ENGSTLER,2005-01-24,Sydney FC (AUS),185,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_25_herrington_lucas,25,DF,Lucas,HERRINGTON,HERRINGTON Lucas,HERRINGTON,2007-09-05,Colorado Rapids (USA),193,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Australia,australia,wc2026_australia_26_yengi_tete,26,FW,Tete Owen,YENGI,YENGI Tete,YENGI,2000-11-28,FC Machida Zelvia (JPN),197,POPOVIC Tony,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_01_schlager_alexander,1,GK,Alexander,SCHLAGER,SCHLAGER Alexander,SCHLAGER,1996-02-01,FC Red Bull Salzburg (AUT),188,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_02_affengruber_david,2,DF,David Leopold,AFFENGRUBER,AFFENGRUBER David,AFFENGRUBER,2001-03-19,Elche CF (ESP),185,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_03_danso_kevin,3,DF,Kevin,DANSO,DANSO Kevin,DANSO,1998-09-19,Tottenham Hotspur FC (ENG),190,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_04_schlager_xaver,4,MF,Xaver,SCHLAGER,SCHLAGER Xaver,XAVER,1997-09-28,RB Leipzig (GER),174,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_05_posch_stefan,5,DF,Stefan,POSCH,POSCH Stefan,POSCH,1997-05-14,1. FSV Mainz 05 (GER),188,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_06_seiwald_nicolas,6,MF,Nicolas,SEIWALD,SEIWALD Nicolas,SEIWALD,2001-05-04,RB Leipzig (GER),179,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_07_arnautovic_marko,7,FW,Marko,ARNAUTOVIC,ARNAUTOVIC Marko,ARNAUTOVIC,1989-04-19,FK Crvena Zvezda (SRB),192,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_08_alaba_david,8,DF,David,ALABA,ALABA David,ALABA,1992-06-24,Real Madrid C. F. (ESP),180,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_09_sabitzer_marcel,9,MF,Marcel,SABITZER,SABITZER Marcel,SABITZER,1994-03-17,Borussia Dortmund (GER),178,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_10_grillitsch_florian,10,MF,Florian,GRILLITSCH,GRILLITSCH Florian,GRILLITSCH,1995-08-07,SC Braga (POR),186,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_11_gregoritsch_michael,11,FW,Michael,GREGORITSCH,GREGORITSCH Michael,GREGORITSCH,1994-04-18,FC Augsburg (GER),193,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_12_wiegele_florian,12,GK,Florian,WIEGELE,WIEGELE Florian,WIEGELE,2001-03-21,FC Viktoria Plzeň (CZE),205,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_13_pentz_patrick,13,GK,Patrick,PENTZ,PENTZ Patrick,PENTZ,1997-01-02,Brøndby IF (DEN),183,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_14_kalajdzic_sasa,14,FW,Saša,KALAJDŽIĆ,KALAJDZIC Sasa,KALAJDZIC,1997-07-07,LASK Linz (AUT),200,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_15_lienhart_philipp,15,DF,Philipp,LIENHART,LIENHART Philipp,LIENHART,1996-07-11,SC Freiburg (GER),189,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_16_mwene_phillip,16,DF,Phillip,MWENE,MWENE Phillip,MWENE,1994-01-29,1. FSV Mainz 05 (GER),170,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_17_chukwuemeka_carney,17,MF,Carney Chibueze,CHUKWUEMEKA,CHUKWUEMEKA Carney,CHUKWUEMEKA,2003-10-20,Borussia Dortmund (GER),187,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_18_schmid_romano,18,MF,Romano,SCHMID,SCHMID Romano,SCHMID,2000-01-27,SV Werder Bremen (GER),168,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_19_baumgartner_christoph,19,MF,Christoph,BAUMGARTNER,BAUMGARTNER Christoph,BAUMGARTNER,1999-08-01,RB Leipzig (GER),180,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_20_laimer_konrad,20,MF,Konrad,LAIMER,LAIMER Konrad,LAIMER,1997-05-27,FC Bayern München (GER),180,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_21_wimmer_patrick,21,FW,Patrick,WIMMER,WIMMER Patrick,WIMMER,2001-05-30,VfL Wolfsburg (GER),182,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_22_prass_alexander,22,MF,Alexander,PRASS,PRASS Alexander,PRASS,2001-05-26,TSG Hoffenheim (GER),180,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_23_friedl_marco,23,DF,Marco,FRIEDL,FRIEDL Marco,FRIEDL,1998-03-16,SV Werder Bremen (GER),187,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_24_wanner_paul,24,MF,Paul,WANNER,WANNER Paul,WANNER,2005-12-23,PSV Eindhoven (NED),185,RANGNICK Ralf,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Austria,austria,wc2026_austria_25_svoboda_michael,25,DF,Michael,SVOBODA,SVOBODA Michael,SVOBODA,1998-10-15,Venezia FC (ITA),195,RANGNICK Ralf,True,True,True,False,False
